# Export File Created with QBlade CE v2.0.9.7b_beta windows on 20.09.2026 at 17:55:23
Fail Blade Simulation	Fail Blade Simulation_Prandtl
Tip Speed Ratio [-]	Thrust Coefficient Ct [-]	Tip Speed Ratio [-]	Thrust Coefficient Ct [-]
1.0000000e+00	2.8946579e-01	1.0000000e+00	2.6502788e-01
1.2000000e+00	3.0619577e-01	1.2000000e+00	2.8325915e-01
1.4000000e+00	3.2735986e-01	1.4000000e+00	3.0602354e-01
1.6000000e+00	3.5364389e-01	1.6000000e+00	3.3259931e-01
1.8000000e+00	3.8519019e-01	1.8000000e+00	3.6453950e-01
2.0000000e+00	4.2614815e-01	2.0000000e+00	3.9973709e-01
2.2000000e+00	4.7258690e-01	2.2000000e+00	4.4235727e-01
2.4000001e+00	5.2669573e-01	2.4000001e+00	4.9318275e-01
2.5999999e+00	5.9392560e-01	2.5999999e+00	5.4918927e-01
2.8000000e+00	6.6732103e-01	2.8000000e+00	6.0582900e-01
3.0000000e+00	7.3630065e-01	3.0000000e+00	6.5930623e-01
3.2000000e+00	7.9071569e-01	3.2000000e+00	6.9212562e-01
3.4000001e+00	8.2837760e-01	3.4000001e+00	7.1518213e-01
3.5999999e+00	8.5326642e-01	3.5999999e+00	7.3280424e-01
3.8000000e+00	8.7029856e-01	3.8000000e+00	7.4701220e-01
4.0000000e+00	8.8260329e-01	4.0000000e+00	7.5908792e-01
4.1999998e+00	8.9144397e-01	4.1999998e+00	7.6944393e-01
4.4000001e+00	8.9847642e-01	4.4000001e+00	7.7797508e-01
4.5999999e+00	9.0307677e-01	4.5999999e+00	7.8377843e-01
4.8000002e+00	9.0469956e-01	4.8000002e+00	7.8480399e-01
5.0000000e+00	8.9907569e-01	5.0000000e+00	7.8322542e-01
5.1999998e+00	8.9304155e-01	5.1999998e+00	7.8131598e-01
5.4000001e+00	8.8656414e-01	5.4000001e+00	7.7871615e-01
5.5999999e+00	8.7978047e-01	5.5999999e+00	7.7551049e-01
5.8000002e+00	8.7246025e-01	5.8000002e+00	7.7208281e-01
6.0000000e+00	8.6518699e-01	6.0000000e+00	7.6815146e-01
6.1999998e+00	8.5744333e-01	6.1999998e+00	7.6408476e-01
6.4000001e+00	8.4951866e-01	6.4000001e+00	7.5938773e-01
6.5999999e+00	8.4115964e-01	6.5999999e+00	7.5429606e-01
6.8000002e+00	8.3269757e-01	6.8000002e+00	7.4941349e-01
7.0000000e+00	8.2397884e-01	7.0000000e+00	7.4380261e-01
7.1999998e+00	8.1471866e-01	7.1999998e+00	7.3757643e-01
7.4000001e+00	8.0484289e-01	7.4000001e+00	7.3073179e-01
7.5999999e+00	7.9431748e-01	7.5999999e+00	7.2317302e-01
7.8000002e+00	7.8309101e-01	7.8000002e+00	7.1489435e-01
8.0000000e+00	7.7115673e-01	8.0000000e+00	7.0585454e-01
8.1999998e+00	7.5851488e-01	8.1999998e+00	6.9699281e-01
8.3999996e+00	7.4516565e-01	8.3999996e+00	6.8685824e-01
8.6000004e+00	7.3110157e-01	8.6000004e+00	6.7510861e-01
8.8000002e+00	7.1632838e-01	8.8000002e+00	6.6458505e-01
9.0000000e+00	7.0080107e-01	9.0000000e+00	6.5044546e-01
9.1999998e+00	6.8429363e-01	9.1999998e+00	6.3861024e-01
9.3999996e+00	6.6677898e-01	9.3999996e+00	6.1304599e-01
9.6000004e+00	6.4831293e-01	9.6000004e+00	5.9984910e-01
9.8000002e+00	6.2879360e-01	9.8000002e+00	5.9235299e-01
1.0000000e+01	6.0826391e-01	1.0000000e+01	5.2993327e-01
1.0200000e+01	5.8697784e-01	1.0200000e+01	5.1355684e-01
1.0400000e+01	5.6445068e-01	1.0400000e+01	5.0019062e-01
1.0600000e+01	5.4100209e-01	1.0600000e+01	4.6996900e-01
1.0800000e+01	5.1683193e-01	1.0800000e+01	3.8432434e-01
1.1000000e+01	4.9194649e-01	1.1000000e+01	3.6319935e-01
1.1200000e+01	4.6571374e-01	1.1200000e+01	3.4462270e-01
1.1400000e+01	4.3781033e-01	1.1400000e+01	3.3793476e-01
1.1600000e+01	4.0520352e-01	1.1600000e+01	2.7452797e-01
1.1800000e+01	3.6992815e-01	1.1800000e+01	1.3983451e-01
1.2000000e+01	3.3142900e-01	1.2000000e+01	1.0188124e-01
