# Export File Created with QBlade CE v2.0.9.7b_beta windows on 20.09.2026 at 18:59:18
Fail Blade Simulation	Fail Blade Simulation_Prandtl	[TSR_27.000]
Tip Speed Ratio [-]	Torque [Nm]	Tip Speed Ratio [-]	Torque [Nm]	Tip Speed Ratio [-]	Torque [Nm]
1.0000000e+00	3.4937474e-01	1.0000000e+00	3.3835894e-01	6.4000001e+00	4.3326718e-01
1.2000000e+00	4.0526703e-01	1.2000000e+00	3.9629894e-01	END	END
1.4000000e+00	4.7098228e-01	1.4000000e+00	4.5962638e-01	END	END
1.6000000e+00	5.4709142e-01	1.6000000e+00	5.2347183e-01	END	END
1.8000000e+00	6.3400352e-01	1.8000000e+00	5.9363532e-01	END	END
2.0000000e+00	7.3899841e-01	2.0000000e+00	6.6237253e-01	END	END
2.2000000e+00	8.4041160e-01	2.2000000e+00	7.4122941e-01	END	END
2.4000001e+00	9.5200002e-01	2.4000001e+00	8.2134569e-01	END	END
2.5999999e+00	1.0670896e+00	2.5999999e+00	8.8826174e-01	END	END
2.8000000e+00	1.1577673e+00	2.8000000e+00	9.3027180e-01	END	END
3.0000000e+00	1.2006153e+00	3.0000000e+00	9.3586195e-01	END	END
3.2000000e+00	1.1904430e+00	3.2000000e+00	9.0423971e-01	END	END
3.4000001e+00	1.1463909e+00	3.4000001e+00	8.6621439e-01	END	END
3.5999999e+00	1.0907049e+00	3.5999999e+00	8.2817459e-01	END	END
3.8000000e+00	1.0346853e+00	3.8000000e+00	7.9150045e-01	END	END
4.0000000e+00	9.8028833e-01	4.0000000e+00	7.5617009e-01	END	END
4.1999998e+00	9.2789507e-01	4.1999998e+00	7.2229898e-01	END	END
4.4000001e+00	8.7823743e-01	4.4000001e+00	6.8988591e-01	END	END
4.5999999e+00	8.3110249e-01	4.5999999e+00	6.5920842e-01	END	END
4.8000002e+00	7.8760159e-01	4.8000002e+00	6.3104397e-01	END	END
5.0000000e+00	7.4949723e-01	5.0000000e+00	6.0443306e-01	END	END
5.1999998e+00	7.1351415e-01	5.1999998e+00	5.7869101e-01	END	END
5.4000001e+00	6.7925423e-01	5.4000001e+00	5.5343050e-01	END	END
5.5999999e+00	6.4596510e-01	5.5999999e+00	5.2858824e-01	END	END
5.8000002e+00	6.1391211e-01	5.8000002e+00	5.0434762e-01	END	END
6.0000000e+00	5.8305347e-01	6.0000000e+00	4.8055634e-01	END	END
6.1999998e+00	5.5306703e-01	6.1999998e+00	4.5692629e-01	END	END
6.4000001e+00	5.2346665e-01	6.4000001e+00	4.3326718e-01	END	END
6.5999999e+00	4.9437740e-01	6.5999999e+00	4.0983859e-01	END	END
6.8000002e+00	4.6590674e-01	6.8000002e+00	3.8666946e-01	END	END
7.0000000e+00	4.3777063e-01	7.0000000e+00	3.6353570e-01	END	END
7.1999998e+00	4.0983096e-01	7.1999998e+00	3.4024987e-01	END	END
7.4000001e+00	3.8204113e-01	7.4000001e+00	3.1664467e-01	END	END
7.5999999e+00	3.5421285e-01	7.5999999e+00	2.9299307e-01	END	END
7.8000002e+00	3.2647541e-01	7.8000002e+00	2.6926997e-01	END	END
8.0000000e+00	2.9883295e-01	8.0000000e+00	2.4539971e-01	END	END
8.1999998e+00	2.7119184e-01	8.1999998e+00	2.2222304e-01	END	END
8.3999996e+00	2.4348435e-01	8.3999996e+00	1.9827171e-01	END	END
8.6000004e+00	2.1565497e-01	8.6000004e+00	1.7308170e-01	END	END
8.8000002e+00	1.8766211e-01	8.8000002e+00	1.4971131e-01	END	END
9.0000000e+00	1.5943412e-01	9.0000000e+00	1.2282428e-01	END	END
9.1999998e+00	1.3072932e-01	9.1999998e+00	9.8665923e-02	END	END
9.3999996e+00	1.0149185e-01	9.3999996e+00	7.0859022e-02	END	END
9.6000004e+00	7.1776941e-02	9.6000004e+00	4.6420310e-02	END	END
9.8000002e+00	4.1539323e-02	9.8000002e+00	3.0151878e-02	END	END
1.0000000e+01	1.0787523e-02	1.0000000e+01	-1.2063731e-02	END	END
1.0200000e+01	-2.0264219e-02	1.0200000e+01	-3.7460256e-02	END	END
1.0400000e+01	-5.2012634e-02	1.0400000e+01	-5.8950916e-02	END	END
1.0600000e+01	-8.4210768e-02	1.0600000e+01	-9.7254694e-02	END	END
1.0800000e+01	-1.1672861e-01	1.0800000e+01	-1.2998912e-01	END	END
1.1000000e+01	-1.4958544e-01	1.1000000e+01	-1.5676181e-01	END	END
1.1200000e+01	-1.8324445e-01	1.1200000e+01	-1.8034407e-01	END	END
1.1400000e+01	-2.1787311e-01	1.1400000e+01	-1.8758506e-01	END	END
1.1600000e+01	-2.5537387e-01	1.1600000e+01	-2.5585523e-01	END	END
1.1800000e+01	-2.9437205e-01	1.1800000e+01	-2.9671574e-01	END	END
1.2000000e+01	-3.3518499e-01	1.2000000e+01	-3.3163279e-01	END	END
