# Export File Created with QBlade CE v2.0.9.7b_beta windows on 20.09.2026 at 17:55:06
Fail Blade Simulation	Fail Blade Simulation_Prandtl
Tip Speed Ratio [-]	Power Coefficient Cp [-]	Tip Speed Ratio [-]	Power Coefficient Cp [-]
1.0000000e+00	4.6699185e-02	1.0000000e+00	4.5226756e-02
1.2000000e+00	6.5004036e-02	1.2000000e+00	6.3565567e-02
1.4000000e+00	8.8135399e-02	1.4000000e+00	8.6010359e-02
1.6000000e+00	1.1700319e-01	1.6000000e+00	1.1195180e-01
1.8000000e+00	1.5253937e-01	1.8000000e+00	1.4282690e-01
2.0000000e+00	1.9755648e-01	2.0000000e+00	1.7707209e-01
2.2000000e+00	2.4713400e-01	2.2000000e+00	2.1796818e-01
2.4000001e+00	3.0539784e-01	2.4000001e+00	2.6348448e-01
2.5999999e+00	3.7084463e-01	2.5999999e+00	3.0869678e-01
2.8000000e+00	4.3330836e-01	2.8000000e+00	3.4816545e-01
3.0000000e+00	4.8144081e-01	3.0000000e+00	3.7527603e-01
3.2000000e+00	5.0918591e-01	3.2000000e+00	3.8676870e-01
3.4000001e+00	5.2099001e-01	3.4000001e+00	3.9366072e-01
3.5999999e+00	5.2484077e-01	3.5999999e+00	3.9851272e-01
3.8000000e+00	5.2554464e-01	3.8000000e+00	4.0202454e-01
4.0000000e+00	5.2412105e-01	4.0000000e+00	4.0429398e-01
4.1999998e+00	5.2091390e-01	4.1999998e+00	4.0549365e-01
4.4000001e+00	5.1651436e-01	4.4000001e+00	4.0573990e-01
4.5999999e+00	5.1101094e-01	4.5999999e+00	4.0532032e-01
4.8000002e+00	5.0531894e-01	4.8000002e+00	4.0487283e-01
5.0000000e+00	5.0090784e-01	5.0000000e+00	4.0395778e-01
5.1999998e+00	4.9593380e-01	5.1999998e+00	4.0222386e-01
5.4000001e+00	4.9027970e-01	5.4000001e+00	3.9946124e-01
5.5999999e+00	4.8352048e-01	5.5999999e+00	3.9566103e-01
5.8000002e+00	4.7593972e-01	5.8000002e+00	3.9099911e-01
6.0000000e+00	4.6760312e-01	6.0000000e+00	3.8540143e-01
6.1999998e+00	4.5833942e-01	6.1999998e+00	3.7866539e-01
6.4000001e+00	4.4780275e-01	6.4000001e+00	3.7064105e-01
6.5999999e+00	4.3613440e-01	6.5999999e+00	3.6155516e-01
6.8000002e+00	4.2347294e-01	6.8000002e+00	3.5145241e-01
7.0000000e+00	4.0960237e-01	7.0000000e+00	3.4014407e-01
7.1999998e+00	3.9441645e-01	7.1999998e+00	3.2745245e-01
7.4000001e+00	3.7788498e-01	7.4000001e+00	3.1319994e-01
7.5999999e+00	3.5982859e-01	7.5999999e+00	2.9763824e-01
7.8000002e+00	3.4037906e-01	7.8000002e+00	2.8073743e-01
8.0000000e+00	3.1954810e-01	8.0000000e+00	2.6241088e-01
8.1999998e+00	2.9724067e-01	8.1999998e+00	2.4356829e-01
8.3999996e+00	2.7338088e-01	8.3999996e+00	2.2261673e-01
8.6000004e+00	2.4789953e-01	8.6000004e+00	1.9896074e-01
8.8000002e+00	2.2073796e-01	8.8000002e+00	1.7609826e-01
9.0000000e+00	1.9179690e-01	9.0000000e+00	1.4775579e-01
9.1999998e+00	1.6076022e-01	9.1999998e+00	1.2133128e-01
9.3999996e+00	1.2751956e-01	9.3999996e+00	8.9030907e-02
9.6000004e+00	9.2103042e-02	9.6000004e+00	5.9565809e-02
9.8000002e+00	5.4413076e-02	9.8000002e+00	3.9496463e-02
1.0000000e+01	1.4419146e-02	1.0000000e+01	-1.6124988e-02
1.0200000e+01	-2.7627898e-02	1.0200000e+01	-5.1072687e-02
1.0400000e+01	-7.2303608e-02	1.0400000e+01	-8.1948623e-02
1.0600000e+01	-1.1931396e-01	1.0600000e+01	-1.3779524e-01
1.0800000e+01	-1.6850735e-01	1.0800000e+01	-1.8764998e-01
1.1000000e+01	-2.1993776e-01	1.1000000e+01	-2.3048928e-01
1.1200000e+01	-2.7432579e-01	1.1200000e+01	-2.6998380e-01
1.1400000e+01	-3.3199096e-01	1.1400000e+01	-2.8583860e-01
1.1600000e+01	-3.9596084e-01	1.1600000e+01	-3.9670718e-01
1.1800000e+01	-4.6429753e-01	1.1800000e+01	-4.6799409e-01
1.2000000e+01	-5.3763014e-01	1.2000000e+01	-5.3193241e-01
