# Export File Created with QBlade CE v2.0.9.7b_beta windows on 20.09.2026 at 17:56:00
Fail Blade Simulation	Fail Blade Simulation_Prandtl
Rotational Speed [rpm]	Torque [Nm]	Rotational Speed [rpm]	Torque [Nm]
3.8197186e+02	3.4937474e-01	3.8197186e+02	3.3835894e-01
4.5836624e+02	4.0526703e-01	4.5836624e+02	3.9629894e-01
5.3476062e+02	4.7098228e-01	5.3476062e+02	4.5962638e-01
6.1115497e+02	5.4709142e-01	6.1115497e+02	5.2347183e-01
6.8754938e+02	6.3400352e-01	6.8754938e+02	5.9363532e-01
7.6394373e+02	7.3899841e-01	7.6394373e+02	6.6237253e-01
8.4033807e+02	8.4041160e-01	8.4033807e+02	7.4122941e-01
9.1673248e+02	9.5200002e-01	9.1673248e+02	8.2134569e-01
9.9312683e+02	1.0670896e+00	9.9312683e+02	8.8826174e-01
1.0695212e+03	1.1577673e+00	1.0695212e+03	9.3027180e-01
1.1459156e+03	1.2006153e+00	1.1459156e+03	9.3586195e-01
1.2223099e+03	1.1904430e+00	1.2223099e+03	9.0423971e-01
1.2987043e+03	1.1463909e+00	1.2987043e+03	8.6621439e-01
1.3750988e+03	1.0907049e+00	1.3750988e+03	8.2817459e-01
1.4514930e+03	1.0346853e+00	1.4514930e+03	7.9150045e-01
1.5278875e+03	9.8028833e-01	1.5278875e+03	7.5617009e-01
1.6042819e+03	9.2789507e-01	1.6042819e+03	7.2229898e-01
1.6806761e+03	8.7823743e-01	1.6806761e+03	6.8988591e-01
1.7570706e+03	8.3110249e-01	1.7570706e+03	6.5920842e-01
1.8334650e+03	7.8760159e-01	1.8334650e+03	6.3104397e-01
1.9098594e+03	7.4949723e-01	1.9098594e+03	6.0443306e-01
1.9862537e+03	7.1351415e-01	1.9862537e+03	5.7869101e-01
2.0626479e+03	6.7925423e-01	2.0626479e+03	5.5343050e-01
2.1390425e+03	6.4596510e-01	2.1390425e+03	5.2858824e-01
2.2154368e+03	6.1391211e-01	2.2154368e+03	5.0434762e-01
2.2918313e+03	5.8305347e-01	2.2918313e+03	4.8055634e-01
2.3682256e+03	5.5306703e-01	2.3682256e+03	4.5692629e-01
2.4446199e+03	5.2346665e-01	2.4446199e+03	4.3326718e-01
2.5210144e+03	4.9437740e-01	2.5210144e+03	4.0983859e-01
2.5974087e+03	4.6590674e-01	2.5974087e+03	3.8666946e-01
2.6738030e+03	4.3777063e-01	2.6738030e+03	3.6353570e-01
2.7501975e+03	4.0983096e-01	2.7501975e+03	3.4024987e-01
2.8265918e+03	3.8204113e-01	2.8265918e+03	3.1664467e-01
2.9029861e+03	3.5421285e-01	2.9029861e+03	2.9299307e-01
2.9793806e+03	3.2647541e-01	2.9793806e+03	2.6926997e-01
3.0557749e+03	2.9883295e-01	3.0557749e+03	2.4539971e-01
3.1321692e+03	2.7119184e-01	3.1321692e+03	2.2222304e-01
3.2085637e+03	2.4348435e-01	3.2085637e+03	1.9827171e-01
3.2849580e+03	2.1565497e-01	3.2849580e+03	1.7308170e-01
3.3613523e+03	1.8766211e-01	3.3613523e+03	1.4971131e-01
3.4377468e+03	1.5943412e-01	3.4377468e+03	1.2282428e-01
3.5141411e+03	1.3072932e-01	3.5141411e+03	9.8665923e-02
3.5905354e+03	1.0149185e-01	3.5905354e+03	7.0859022e-02
3.6669299e+03	7.1776941e-02	3.6669299e+03	4.6420310e-02
3.7433242e+03	4.1539323e-02	3.7433242e+03	3.0151878e-02
3.8197188e+03	1.0787523e-02	3.8197188e+03	-1.2063731e-02
3.8961130e+03	-2.0264219e-02	3.8961130e+03	-3.7460256e-02
3.9725073e+03	-5.2012634e-02	3.9725073e+03	-5.8950916e-02
4.0489019e+03	-8.4210768e-02	4.0489019e+03	-9.7254694e-02
4.1252959e+03	-1.1672861e-01	4.1252959e+03	-1.2998912e-01
4.2016904e+03	-1.4958544e-01	4.2016904e+03	-1.5676181e-01
4.2780850e+03	-1.8324445e-01	4.2780850e+03	-1.8034407e-01
4.3544790e+03	-2.1787311e-01	4.3544790e+03	-1.8758506e-01
4.4308735e+03	-2.5537387e-01	4.4308735e+03	-2.5585523e-01
4.5072681e+03	-2.9437205e-01	4.5072681e+03	-2.9671574e-01
4.5836626e+03	-3.3518499e-01	4.5836626e+03	-3.3163279e-01
