r/R,Lc/R,θ [deg],a,a',Re
0.033,0.1983,49.020,0.2673,2.8567,52153
0.100,0.4201,39.549,0.2919,0.7417,122642
0.167,0.4873,31.623,0.3066,0.3535,162972
0.233,0.4812,25.400,0.3154,0.2056,186275
0.300,0.4482,20.620,0.3207,0.1335,200251
0.367,0.4088,16.941,0.3241,0.0932,209038
0.433,0.3709,14.071,0.3264,0.0685,214823
0.500,0.3370,11.793,0.3279,0.0524,218795
0.567,0.3073,9.954,0.3290,0.0413,221624
0.633,0.2817,8.444,0.3298,0.0333,223701
0.700,0.2595,7.186,0.3304,0.0275,225269
0.767,0.2402,6.123,0.3309,0.0230,226479
0.833,0.2234,5.216,0.3312,0.0196,227433
0.900,0.2087,4.432,0.3315,0.0168,228197
0.967,0.1956,3.750,0.3317,0.0146,228818
