# Export File Created with QBlade CE v2.0.9.7b_beta windows on 20.09.2026 at 18:57:14
Fail Blade Simulation	Fail Blade Simulation_Prandtl	[TSR_27.000]
Tip Speed Ratio [-]	Rotational Speed [rpm]	Tip Speed Ratio [-]	Rotational Speed [rpm]	Tip Speed Ratio [-]	Rotational Speed [rpm]
1.0000000e+00	3.8197186e+02	1.0000000e+00	3.8197186e+02	6.4000001e+00	2.4446199e+03
1.2000000e+00	4.5836624e+02	1.2000000e+00	4.5836624e+02	END	END
1.4000000e+00	5.3476062e+02	1.4000000e+00	5.3476062e+02	END	END
1.6000000e+00	6.1115497e+02	1.6000000e+00	6.1115497e+02	END	END
1.8000000e+00	6.8754938e+02	1.8000000e+00	6.8754938e+02	END	END
2.0000000e+00	7.6394373e+02	2.0000000e+00	7.6394373e+02	END	END
2.2000000e+00	8.4033807e+02	2.2000000e+00	8.4033807e+02	END	END
2.4000001e+00	9.1673248e+02	2.4000001e+00	9.1673248e+02	END	END
2.5999999e+00	9.9312683e+02	2.5999999e+00	9.9312683e+02	END	END
2.8000000e+00	1.0695212e+03	2.8000000e+00	1.0695212e+03	END	END
3.0000000e+00	1.1459156e+03	3.0000000e+00	1.1459156e+03	END	END
3.2000000e+00	1.2223099e+03	3.2000000e+00	1.2223099e+03	END	END
3.4000001e+00	1.2987043e+03	3.4000001e+00	1.2987043e+03	END	END
3.5999999e+00	1.3750988e+03	3.5999999e+00	1.3750988e+03	END	END
3.8000000e+00	1.4514930e+03	3.8000000e+00	1.4514930e+03	END	END
4.0000000e+00	1.5278875e+03	4.0000000e+00	1.5278875e+03	END	END
4.1999998e+00	1.6042819e+03	4.1999998e+00	1.6042819e+03	END	END
4.4000001e+00	1.6806761e+03	4.4000001e+00	1.6806761e+03	END	END
4.5999999e+00	1.7570706e+03	4.5999999e+00	1.7570706e+03	END	END
4.8000002e+00	1.8334650e+03	4.8000002e+00	1.8334650e+03	END	END
5.0000000e+00	1.9098594e+03	5.0000000e+00	1.9098594e+03	END	END
5.1999998e+00	1.9862537e+03	5.1999998e+00	1.9862537e+03	END	END
5.4000001e+00	2.0626479e+03	5.4000001e+00	2.0626479e+03	END	END
5.5999999e+00	2.1390425e+03	5.5999999e+00	2.1390425e+03	END	END
5.8000002e+00	2.2154368e+03	5.8000002e+00	2.2154368e+03	END	END
6.0000000e+00	2.2918313e+03	6.0000000e+00	2.2918313e+03	END	END
6.1999998e+00	2.3682256e+03	6.1999998e+00	2.3682256e+03	END	END
6.4000001e+00	2.4446199e+03	6.4000001e+00	2.4446199e+03	END	END
6.5999999e+00	2.5210144e+03	6.5999999e+00	2.5210144e+03	END	END
6.8000002e+00	2.5974087e+03	6.8000002e+00	2.5974087e+03	END	END
7.0000000e+00	2.6738030e+03	7.0000000e+00	2.6738030e+03	END	END
7.1999998e+00	2.7501975e+03	7.1999998e+00	2.7501975e+03	END	END
7.4000001e+00	2.8265918e+03	7.4000001e+00	2.8265918e+03	END	END
7.5999999e+00	2.9029861e+03	7.5999999e+00	2.9029861e+03	END	END
7.8000002e+00	2.9793806e+03	7.8000002e+00	2.9793806e+03	END	END
8.0000000e+00	3.0557749e+03	8.0000000e+00	3.0557749e+03	END	END
8.1999998e+00	3.1321692e+03	8.1999998e+00	3.1321692e+03	END	END
8.3999996e+00	3.2085637e+03	8.3999996e+00	3.2085637e+03	END	END
8.6000004e+00	3.2849580e+03	8.6000004e+00	3.2849580e+03	END	END
8.8000002e+00	3.3613523e+03	8.8000002e+00	3.3613523e+03	END	END
9.0000000e+00	3.4377468e+03	9.0000000e+00	3.4377468e+03	END	END
9.1999998e+00	3.5141411e+03	9.1999998e+00	3.5141411e+03	END	END
9.3999996e+00	3.5905354e+03	9.3999996e+00	3.5905354e+03	END	END
9.6000004e+00	3.6669299e+03	9.6000004e+00	3.6669299e+03	END	END
9.8000002e+00	3.7433242e+03	9.8000002e+00	3.7433242e+03	END	END
1.0000000e+01	3.8197188e+03	1.0000000e+01	3.8197188e+03	END	END
1.0200000e+01	3.8961130e+03	1.0200000e+01	3.8961130e+03	END	END
1.0400000e+01	3.9725073e+03	1.0400000e+01	3.9725073e+03	END	END
1.0600000e+01	4.0489019e+03	1.0600000e+01	4.0489019e+03	END	END
1.0800000e+01	4.1252959e+03	1.0800000e+01	4.1252959e+03	END	END
1.1000000e+01	4.2016904e+03	1.1000000e+01	4.2016904e+03	END	END
1.1200000e+01	4.2780850e+03	1.1200000e+01	4.2780850e+03	END	END
1.1400000e+01	4.3544790e+03	1.1400000e+01	4.3544790e+03	END	END
1.1600000e+01	4.4308735e+03	1.1600000e+01	4.4308735e+03	END	END
1.1800000e+01	4.5072681e+03	1.1800000e+01	4.5072681e+03	END	END
1.2000000e+01	4.5836626e+03	1.2000000e+01	4.5836626e+03	END	END
