QBlade CE v2.0.9.7b_beta windows

 Calculated polar for: NACA 2414

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-15.000  -1.2437  0.02532  0.02069  -0.0715  0.0000   0.0000   8.8917   0.0000   0.0000   
-14.500  -1.2398  0.02308  0.01824  -0.0665  0.0000   0.0000   8.6638   0.0000   0.0000   
-14.000  -1.2346  0.02153  0.01652  -0.0595  0.0000   0.0000   8.4186   0.0000   0.0000   
-13.500  -1.2205  0.02021  0.01505  -0.0532  0.0000   0.0000   8.1319   0.0000   0.0000   
-13.000  -1.1758  0.01878  0.01341  -0.0528  0.0000   0.0000   7.7108   0.0000   0.0000   
-12.500  -1.1241  0.01753  0.01202  -0.0534  0.0000   0.0000   7.2604   0.0000   0.0000   
-12.000  -1.0705  0.01609  0.01052  -0.0543  0.0000   0.0000   6.8489   0.0000   0.0000   
-11.500  -1.0138  0.01515  0.00962  -0.0554  0.0000   0.0000   6.3792   0.0000   0.0000   
-11.000  -0.9581  0.01438  0.00884  -0.0561  0.0000   0.0000   5.9240   0.0000   0.0000   
-10.500  -0.8983  0.01367  0.00809  -0.0575  0.0000   0.0000   5.4665   0.0000   0.0000   
-10.000  -0.8462  0.01304  0.00732  -0.0571  0.0000   0.0000   5.0487   0.0000   0.0000   
-9.500   -0.7897  0.01246  0.00668  -0.0575  0.0000   0.0000   4.6328   0.0000   0.0000   
-9.000   -0.7376  0.01194  0.00610  -0.0569  0.0000   0.0000   4.2462   0.0000   0.0000   
-8.500   -0.6839  0.01145  0.00553  -0.0565  0.0000   0.0000   3.8676   0.0000   0.0000   
-8.000   -0.6319  0.01094  0.00498  -0.0557  0.0000   0.0000   3.5135   0.0000   0.0000   
-7.500   -0.5794  0.01041  0.00449  -0.0551  0.0000   0.0000   3.1659   0.0000   0.0000   
-7.000   -0.5257  0.01003  0.00406  -0.0546  0.0000   0.0000   2.8443   0.0000   0.0000   
-6.500   -0.4709  0.00968  0.00361  -0.0543  0.0000   0.0000   2.5815   0.0000   0.0000   
-6.000   -0.4175  0.00931  0.00323  -0.0538  0.0000   0.0000   2.3425   0.0000   0.0000   
-5.500   -0.3626  0.00903  0.00292  -0.0535  0.0000   0.0000   2.1071   0.0000   0.0000   
-5.000   -0.3076  0.00878  0.00262  -0.0532  0.0000   0.0000   1.8800   0.0000   0.0000   
-4.500   -0.2528  0.00852  0.00237  -0.0529  0.0000   0.0000   1.6610   0.0000   0.0000   
-4.000   -0.1973  0.00833  0.00216  -0.0527  0.0000   0.0000   1.4491   0.0000   0.0000   
-3.500   -0.1431  0.00817  0.00196  -0.0523  0.0000   0.0000   1.2483   0.0000   0.0000   
-3.000   -0.0881  0.00791  0.00175  -0.0521  0.0000   0.0000   1.0786   0.0000   0.0000   
-2.500   -0.0328  0.00778  0.00162  -0.0519  0.0000   0.0000   0.9347   0.0000   0.0000   
-2.000   0.0217   0.00767  0.00153  -0.0516  0.0000   0.0000   0.7964   0.0000   0.0000   
-1.500   0.0777   0.00757  0.00145  -0.0515  0.0000   0.0000   0.6759   0.0000   0.0000   
-1.000   0.1325   0.00748  0.00141  -0.0513  0.0000   0.0000   0.5737   0.0000   0.0000   
-0.500   0.1881   0.00741  0.00139  -0.0512  0.0000   0.0000   0.5910   0.0000   0.0000   
0.000    0.2429   0.00736  0.00140  -0.0509  0.0000   0.0000   0.6387   0.0000   0.0000   
0.500    0.2982   0.00724  0.00143  -0.0508  0.0000   0.0000   0.6909   0.0000   0.0000   
1.000    0.3525   0.00712  0.00150  -0.0505  0.0000   0.0000   0.7470   0.0000   0.0000   
1.500    0.4076   0.00713  0.00159  -0.0503  0.0000   0.0000   0.8079   0.0000   0.0000   
2.000    0.4624   0.00706  0.00170  -0.0500  0.0000   0.0000   0.8779   0.0000   0.0000   
2.500    0.5155   0.00719  0.00185  -0.0494  0.0000   0.0000   0.9572   0.0000   0.0000   
3.000    0.5695   0.00720  0.00201  -0.0489  0.0000   0.0000   1.0508   0.0000   0.0000   
3.500    0.6200   0.00740  0.00225  -0.0476  0.0000   0.0000   1.1646   0.0000   0.0000   
4.000    0.6700   0.00772  0.00251  -0.0463  0.0000   0.0000   1.2854   0.0000   0.0000   
4.500    0.7222   0.00806  0.00286  -0.0454  0.0000   0.0000   1.4447   0.0000   0.0000   
5.000    0.7849   0.00857  0.00320  -0.0470  0.0000   0.0000   1.6266   0.0000   0.0000   
5.500    0.8422   0.00954  0.00375  -0.0480  0.0000   0.0000   1.8044   0.0000   0.0000   
6.000    0.9053   0.01016  0.00420  -0.0501  0.0000   0.0000   2.0553   0.0000   0.0000   
6.500    0.9532   0.01067  0.00460  -0.0487  0.0000   0.0000   2.2834   0.0000   0.0000   
7.000    0.9946   0.01131  0.00509  -0.0461  0.0000   0.0000   2.5043   0.0000   0.0000   
7.500    1.0398   0.01184  0.00556  -0.0443  0.0000   0.0000   2.7414   0.0000   0.0000   
8.000    1.0834   0.01252  0.00620  -0.0422  0.0000   0.0000   2.9912   0.0000   0.0000   
8.500    1.1273   0.01320  0.00681  -0.0403  0.0000   0.0000   3.2423   0.0000   0.0000   
9.000    1.1694   0.01396  0.00748  -0.0382  0.0000   0.0000   3.4935   0.0000   0.0000   
9.500    1.2127   0.01458  0.00812  -0.0363  0.0000   0.0000   3.7539   0.0000   0.0000   
10.000   1.2535   0.01524  0.00881  -0.0340  0.0000   0.0000   4.0949   0.0000   0.0000   
10.500   1.2874   0.01606  0.00962  -0.0306  0.0000   0.0000   4.4221   0.0000   0.0000   
11.000   1.3184   0.01707  0.01058  -0.0269  0.0000   0.0000   4.7461   0.0000   0.0000   
11.500   1.3498   0.01808  0.01163  -0.0236  0.0000   0.0000   5.0771   0.0000   0.0000   
12.000   1.3804   0.01916  0.01285  -0.0204  0.0000   0.0000   5.4201   0.0000   0.0000   
12.500   1.4090   0.02036  0.01415  -0.0173  0.0000   0.0000   5.7599   0.0000   0.0000   
13.000   1.4356   0.02174  0.01563  -0.0143  0.0000   0.0000   6.0978   0.0000   0.0000   
13.500   1.4584   0.02336  0.01736  -0.0113  0.0000   0.0000   6.4255   0.0000   0.0000   
14.000   1.4781   0.02530  0.01940  -0.0084  0.0000   0.0000   6.7437   0.0000   0.0000   
14.500   1.4939   0.02760  0.02181  -0.0057  0.0000   0.0000   7.0474   0.0000   0.0000   
15.000   1.5061   0.03033  0.02465  -0.0033  0.0000   0.0000   7.3360   0.0000   0.0000   
15.500   1.5147   0.03354  0.02797  -0.0013  0.0000   0.0000   7.6079   0.0000   0.0000   
16.000   1.5171   0.03736  0.03189  0.0003   0.0000   0.0000   7.8469   0.0000   0.0000   
16.500   1.5135   0.04207  0.03672  0.0013   0.0000   0.0000   8.0500   0.0000   0.0000   
17.000   1.5025   0.04777  0.04256  0.0016   0.0000   0.0000   8.1977   0.0000   0.0000   
17.500   1.4875   0.05405  0.04901  0.0012   0.0000   0.0000   8.3146   0.0000   0.0000   
