alpha,CL,CD,CM,CL_ATT,CL_SEP,F_ST,CL_CD
-11.0,-0.8338,0.04292,-0.0608,-1.264063,-0.558946,0.389799,-19.426840633737186
-10.5,-0.837,0.03962,-0.0549,-1.194934,-0.539262,0.454096,-21.125694093891973
-10.0,-0.8378,0.03558,-0.049,-1.125804,-0.518093,0.526084,-23.546936481169194
-9.5,-0.8216,0.0338,-0.0442,-1.056675,-0.49292,0.583019,-24.30769230769231
-9.0,-0.8006,0.03197,-0.0397,-0.987546,-0.466459,0.641239,-25.0422270878949
-8.5,-0.7772,0.02955,-0.0353,-0.918416,-0.439219,0.705307,-26.301184433164128
-8.0,-0.7489,0.02753,-0.0313,-0.849287,-0.41086,0.771029,-27.20305121685434
-7.5,-0.7191,0.02542,-0.0277,-0.780158,-0.381967,0.846662,-28.28874901652242
-7.0,-0.6549,0.02383,-0.0308,-0.711028,-0.348053,0.845366,-27.482165337809484
-6.5,-0.5882,0.02281,-0.0338,-0.641899,-0.313784,0.836341,-25.786935554581323
-6.0,-0.5227,0.02149,-0.0369,-0.572769,-0.279683,0.829165,-24.32294090274547
-5.5,-0.4533,0.02039,-0.0403,-0.50364,-0.245013,0.805356,-22.23148602256008
-5.0,-0.3901,0.01957,-0.0422,-0.434511,-0.211239,0.801091,-19.933571793561573
-4.5,-0.3152,0.01871,-0.0465,-0.365381,-0.175688,0.73546,-16.846606092998396
-4.0,-0.2575,0.01802,-0.0469,-0.296252,-0.142748,0.747549,-14.289678135405104
-3.5,-0.1884,0.01725,-0.0496,-0.227123,-0.107999,0.674937,-10.921739130434782
-3.0,-0.1354,0.01668,-0.049,-0.157993,-0.075828,0.725024,-8.117505995203837
-2.5,-0.0715,0.016,-0.0501,-0.088864,-0.041881,0.630419,-4.468749999999999
-2.0,-0.0171,0.01539,-0.0492,-0.019735,-0.009501,0.742545,-1.1111111111111112
-1.5,0.0397,0.01493,-0.0485,0.049395,0.023272,0.628884,2.6590756865371734
-1.0,0.097,0.01458,-0.0475,0.118524,0.056139,0.654982,6.652949245541839
-0.5,0.1524,0.01442,-0.0459,0.187653,0.088683,0.643801,10.56865464632455
0.0,0.2218,0.01431,-0.0468,0.256783,0.123514,0.737503,15.499650593990216
0.5,0.2908,0.01445,-0.0485,0.325912,0.158177,0.79067,20.124567474048444
1.0,0.3686,0.01453,-0.0521,0.395041,0.19404,0.868452,25.368203716448726
1.5,0.4544,0.01462,-0.0579,0.464171,0.230844,0.958125,31.08071135430917
2.0,0.5333,0.01473,-0.0629,0.5333,0.26665,1.0,36.20502376103191
3.0,0.6182,0.01528,-0.058,0.671559,0.328684,0.844379,40.45811518324607
3.5,0.6628,0.01568,-0.0557,0.740688,0.359766,0.795528,42.2704081632653
4.0,0.7047,0.01607,-0.0531,0.809817,0.390334,0.749413,43.85189794648413
4.5,0.7484,0.01658,-0.0506,0.878947,0.421078,0.714881,45.138721351025325
5.0,0.7903,0.01705,-0.0479,0.948076,0.451455,0.682301,46.35190615835777
5.5,0.8333,0.01763,-0.0455,1.017205,0.481939,0.656423,47.26602382302893
6.0,0.8738,0.01827,-0.0426,1.086335,0.511935,0.629988,47.827038861521615
6.5,0.9145,0.01892,-0.0399,1.155464,0.541898,0.607273,48.33509513742072
7.0,0.9521,0.01975,-0.0368,1.224593,0.57124,0.582931,48.20759493670886
7.5,0.9873,0.02075,-0.0335,1.293723,0.600057,0.558256,47.58072289156626
8.0,1.0175,0.02197,-0.0296,1.362852,0.627822,0.530153,46.31315430131998
8.5,1.0433,0.02344,-0.0253,1.431981,0.654573,0.500029,44.50938566552901
9.0,1.0695,0.02489,-0.0212,1.501111,0.681234,0.473566,42.969063881076735
9.5,1.0892,0.02656,-0.0163,1.57024,0.706339,0.443177,41.00903614457831
10.0,1.1005,0.02878,-0.0111,1.639369,0.729308,0.407876,38.23835997220292
10.5,1.1185,0.03084,-0.0073,1.708499,0.753483,0.38221,36.26783398184177
11.0,1.1221,0.03383,-0.0029,1.777628,0.773869,0.346927,33.1687851019805
11.5,1.1344,0.03661,0.0003,1.846758,0.795992,0.322059,30.986069379950838
12.0,1.1432,0.03975,0.003,1.915887,0.816855,0.296939,28.759748427672957
12.5,1.1429,0.04374,0.0054,1.985016,0.834756,0.267891,26.129401005944217
13.0,1.1371,0.04856,0.0076,2.054146,0.850389,0.23818,23.416392092257002
13.5,1.1397,0.05294,0.0089,2.123275,0.86793,0.21649,21.52814506989044
14.0,1.138,0.05783,0.0096,2.192404,0.883539,0.194413,19.67836762925817
14.5,1.1297,0.06367,0.0094,2.261533,0.8962,0.171021,17.743050102088894
15.0,1.1148,0.07045,0.0082,2.330663,1.1148,0.0,15.823988644428674
15.5,1.0951,0.07807,0.0056,2.399792,1.0951,0.0,14.02715511720251
